"Conv ID","Intent","Persona","Turn #","Role","Message","Bot Score (1-5)","Issues","APPROVE? (yes/no)","Notes"
"","","","","","","","","",""
"conv_maid_hire_001","maid_hire","Professional gives all info upfront in one message","1","👤 Customer","I need a full-time cook in Koramangala, my number is 9876543210","","","",""
"","","","2","🤖 EzyBot","Thanks! What type of cooking are you looking for - North Indian, South Indian, or something else?","5","","",""
"","","","3","👤 Customer","South Indian mostly, but someone who can manage basic north indian dishes too. I want her 6 days a week, 9am to 6pm. Salary around 15k?","","","",""
"","","","4","🤖 EzyBot","Okay, great. And how many people is she cooking for regularly?","5","","",""
"","","","5","👤 Customer","Just 2 of us. She should have at least 2 years experience, ideally. Is background verification done?","","","",""
"","","","6","🤖 EzyBot","Yes, we do thorough background verification. Could you please confirm if you're looking for someone with prior experience in a similar household?","4","slightly conversational","",""
"","","","7","👤 Customer","yes, definitely. previous work exp is important. and is there a trial period?","","","",""
"","","","8","🤖 EzyBot","Yes, we offer a short trial period. I'll connect you with a representative to discuss this further and finalize the details. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_002","maid_hire","Elderly person types slowly, gives info one piece at a time","1","👤 Customer","want maid","","","",""
"","","","2","🤖 EzyBot","Okay! Could you please share your phone number?","5","","",""
"","","","3","👤 Customer","9848022338","","","",""
"","","","4","🤖 EzyBot","Thanks! In which area of Bengaluru are you looking for help?","5","","",""
"","","","5","👤 Customer","indiranagar","","","",""
"","","","6","🤖 EzyBot","Got it. What type of service are you looking for – full-time, part-time, or something else?","5","","",""
"","","","7","👤 Customer","full time. and is it possible to get someone who cooks well?","","","",""
"","","","8","🤖 EzyBot","Yes, we can certainly try to find someone who cooks well. What schedule are you looking at for the maid?","4","slightly conversational","",""
"","","","9","👤 Customer","mon to sat. 9am to 6pm i think.","","","",""
"","","","10","🤖 EzyBot","Okay, and what salary expectation do you have?","5","","",""
"","","","11","👤 Customer","around 12000?","","","",""
"","","","12","🤖 EzyBot","Thanks. How many people are in your family?","5","","",""
"","","","13","👤 Customer","just me and my wife","","","",""
"","","","14","🤖 EzyBot","Do you prefer someone with prior experience?","5","","",""
"","","","15","👤 Customer","yes please. important","","","",""
"","","","16","🤖 EzyBot","Thank you for the information. I will now escalate this to our team to find a suitable match for you. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_003","maid_hire","Customer asks a question first before deciding to hire","1","👤 Customer","do you have part time maids?","","","",""
"","","","2","🤖 EzyBot","Yes, we offer part-time maid services. Could you please share your phone number so we can discuss your requirements?","5","","",""
"","","","3","👤 Customer","9876543210. i live in koramangala.","","","",""
"","","","4","🤖 EzyBot","Thanks! What type of services are you looking for – general cleaning, cooking, or both?","5","","",""
"","","","5","👤 Customer","just cleaning mostly. maybe a little bit of dishes. how many hours a week?","","","",""
"","","","6","🤖 EzyBot","Okay, cleaning and a little dishwashing. What schedule are you thinking of, and how many days a week would you need help?","5","","",""
"","","","7","👤 Customer","ummm... 3 days a week? maybe mon wed fri? and salary expectation... i dont wanna pay too much lol","","","",""
"","","","8","🤖 EzyBot","Mon, Wed, Fri sounds good. Could you share your salary expectation, and also your family size?","5","","",""
"","","","9","👤 Customer","family of 3. salary... around 8k a month? does she need experience?","","","",""
"","","","10","🤖 EzyBot","Okay, family of 3 and a salary expectation around 8k. Do you prefer a helper with prior experience?","5","","",""
"","","","11","👤 Customer","yes please! experienced.","","","",""
"","","","12","🤖 EzyBot","Great! I have all the details. I'll now escalate this to our team to find the best match for you. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_004","maid_hire","Hinglish speaker (mix of Hindi and English)","1","👤 Customer","mujhe ek maid chahiye cooking ke liye","","","",""
"","","","2","🤖 EzyBot","Okay! To help you find a maid, could you please share your phone number?","5","","",""
"","","","3","👤 Customer","9876543210","","","",""
"","","","4","🤖 EzyBot","Thanks! Which area in Bengaluru are you looking for help in?","5","","",""
"","","","5","👤 Customer","indiranagar","","","",""
"","","","6","🤖 EzyBot","Got it. And what type of services are you looking for – just cooking, or also cleaning and other household work?","5","","",""
"","","","7","👤 Customer","just cooking mostly. thoda bartan saaf karne ko bol sakti hu.","","","",""
"","","","8","🤖 EzyBot","Okay, mostly cooking with some dishwashing. What schedule are you thinking of – full-time, part-time, or specific days?","5","","",""
"","","","9","👤 Customer","full time. aur salary kitna dena padega?","","","",""
"","","","10","🤖 EzyBot","We don't share salary amounts directly. What salary expectation do *you* have in mind? Also, how many people are in your family?","4","slightly conversational","",""
"","","","11","👤 Customer","family mein 4 log hain. salary toh 12-15k ke beech mein.","","","",""
"","","","12","🤖 EzyBot","Thanks! Does your family have any preference for a maid with prior experience?","5","","",""
"","","","13","👤 Customer","haan, thoda experience hona achha hai.","","","",""
"","","","14","🤖 EzyBot","Great. I have all the details. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_005","maid_hire","Customer gives invalid short phone first, then corrects it","1","👤 Customer","I need cleaning help, my number is 98765","","","",""
"","","","2","🤖 EzyBot","Hi! That's not a valid phone number. Could you please share a 10-digit mobile number?","5","","",""
"","","","3","👤 Customer","sorry, 9876543210","","","",""
"","","","4","🤖 EzyBot","Thanks! In which area of Bengaluru are you located?","5","","",""
"","","","5","👤 Customer","koramangala","","","",""
"","","","6","🤖 EzyBot","Okay. What type of help are you looking for – full-time maid, part-time, or something specific like deep cleaning?","5","","",""
"","","","7","👤 Customer","part time, like 3 days a week","","","",""
"","","","8","🤖 EzyBot","Got it. What is your salary expectation per month?","5","","",""
"","","","9","👤 Customer","around 8k? how many helpers do you have available?","","","",""
"","","","10","🤖 EzyBot","We have several helpers available. Could you please tell me your family size and if you prefer someone with prior experience?","4","slightly too long","",""
"","","","11","👤 Customer","family of 3, experience preferred","","","",""
"","","","12","🤖 EzyBot","Thank you. I'll connect you with a representative to discuss your requirements further. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_006","maid_hire","Customer asks about pricing multiple times","1","👤 Customer","I want to hire a maid, how much will it cost?","","","",""
"","","","2","🤖 EzyBot","To help you with that, could you please share your phone number?","5","","",""
"","","","3","👤 Customer","9876543210. and where do u guys operate?","","","",""
"","","","4","🤖 EzyBot","Thanks! We currently operate only in Bengaluru. Could you please tell me which area in Bengaluru you are located in?","5","","",""
"","","","5","👤 Customer","Indiranagar. what about salary? like roughly?","","","",""
"","","","6","🤖 EzyBot","Okay, Indiranagar. What type of services are you looking for – full-time, part-time, or something else?","4","avoided price question, but could be more direct","",""
"","","","7","👤 Customer","full time. and what's the average salary range? just a ballpark","","","",""
"","","","8","🤖 EzyBot","Got it. To understand your needs better, could you tell me what your preferred schedule would be? Also, what is your family size?","5","","",""
"","","","9","👤 Customer","Mon-Fri 9am-6pm. family of 3. do u check backgrounds?","","","",""
"","","","10","🤖 EzyBot","Thanks! Yes, we do background checks. Finally, could you share your salary expectation and if you prefer someone with prior experience?","5","","",""
"","","","11","👤 Customer","around 12k. and yes, experience preferred.","","","",""
"","","","12","🤖 EzyBot","Thank you for the information. I will now escalate this to our team to find the best helper for you. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_007","maid_hire","Customer from Mumbai (outside service area)","1","👤 Customer","I need a maid in Mumbai","","","",""
"","","","2","🤖 EzyBot","We only operate in Bengaluru currently.","5","","",""
"","","","3","👤 Customer","oh ok. my sister lives in bangalore. can i hire someone there for her?","","","",""
"","","","4","🤖 EzyBot","Yes, we can help with that! Could you please share your phone number?","5","","",""
"","","","5","👤 Customer","9876543210","","","",""
"","","","6","🤖 EzyBot","Thanks! In which area of Bengaluru will the help be needed?","5","","",""
"","","","7","👤 Customer","Indiranagar... or maybe Koramangala, not sure yet.","","","",""
"","","","8","🤖 EzyBot","Okay, understood. What type of service are you looking for – full-time maid, part-time, or something else?","5","","",""
"","","","9","👤 Customer","full time. she needs someone to cook and clean mostly. and take care of a small kid.","","","",""
"","","","10","🤖 EzyBot","Got it. What schedule are you looking at – daily, weekdays only, or specific days?","5","","",""
"","","","11","👤 Customer","daily, mon-sat. what's the salary like?","","","",""
"","","","12","🤖 EzyBot","And what is your salary expectation for the helper? Also, how many people are in your sister's family?","4","slightly too long","",""
"","","","13","👤 Customer","family of 3. salary... hmm, around 12k?","","","",""
"","","","14","🤖 EzyBot","Does your sister prefer someone with prior experience?","5","","",""
"","","","15","👤 Customer","yes, definitely. someone reliable.","","","",""
"","","","16","🤖 EzyBot","Thank you for the information. I will now escalate this to our team to find the best helper for your sister. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_008","maid_hire","Customer needs baby care specifically","1","👤 Customer","Looking for someone to take care of my 6 month old baby","","","",""
"","","","2","🤖 EzyBot","Okay! To help you find the right helper, could you please share your phone number?","5","","",""
"","","","3","👤 Customer","9876543210. And where do u guys have helpers? I'm in Whitefield.","","","",""
"","","","4","🤖 EzyBot","Thanks! We have helpers available in Whitefield. What type of service are you looking for - full-time, part-time, or something else?","5","","",""
"","","","5","👤 Customer","Full time. Mon-Fri. 9am-6pm roughly. Is that possible?","","","",""
"","","","6","🤖 EzyBot","Yes, that schedule is possible. What are your salary expectations for a full-time baby care helper?","5","","",""
"","","","7","👤 Customer","Hmm, not sure. What's the usual range? Also, we are a small family - just me, my husband and the baby.","","","",""
"","","","8","🤖 EzyBot","We don't share salary ranges directly. For a family of three, and with your specified schedule, do you have any prior experience preferences for the helper?","4","slightly conversational, could be more direct","",""
"","","","9","👤 Customer","Yes, definitely need someone with baby care experience. At least 6 months.","","","",""
"","","","10","🤖 EzyBot","Great. I have all the details I need. I'll now escalate this to our team to find the best match for you. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_009","maid_hire","Customer needs elderly care for parent","1","👤 Customer","My mother is 78 years old, I need a full-time caretaker","","","",""
"","","","2","🤖 EzyBot","Okay, we can help with that. Could you please share your phone number?","5","","",""
"","","","3","👤 Customer","9886223456. Where do you guys provide service? is it all over bangalore?","","","",""
"","","","4","🤖 EzyBot","Thanks! Yes, we operate across Bengaluru. Which area in Bengaluru are you located in?","5","","",""
"","","","5","👤 Customer","Indiranagar. So, this is for elderly care, like cooking, meds reminder, and just company. What kind of services do you offer exactly?","","","",""
"","","","6","🤖 EzyBot","We offer a range of services including companionship, medication reminders, and light cooking. What schedule are you looking for – full-time, part-time, or specific hours?","4","slightly too long","",""
"","","","7","👤 Customer","Full time, obviously. And what about salary? What's the range? My budget is around 15k","","","",""
"","","","8","🤖 EzyBot","Thanks. What salary expectation do you have for the caretaker? Also, could you tell me your family size?","5","","",""
"","","","9","👤 Customer","Just me and my mom. She's mostly independent but needs help. Does the helper have experience with elderly care? That's important.","","","",""
"","","","10","🤖 EzyBot","Okay, that's helpful. Do you require someone with prior experience in elderly care? I'll now escalate this to a specialist to discuss your needs further. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_maid_hire_010","maid_hire","Customer sends phone number without being asked first","1","👤 Customer","Hi, my number is 9988776655, I need a maid","","","",""
"","","","2","🤖 EzyBot","Thanks! Which area in Bengaluru are you looking for a maid in?","5","","",""
"","","","3","👤 Customer","koramangala...full time help needed","","","",""
"","","","4","🤖 EzyBot","Great. What type of services do you need - just cleaning, or cooking, baby care, or something else?","5","","",""
"","","","5","👤 Customer","cleaning n cooking mostly. how much do they usually charge?","","","",""
"","","","6","🤖 EzyBot","We don't share pricing information directly. What schedule are you looking at - daily, or a few times a week?","4","slightly defensive tone","",""
